Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
3.0250000000000004,6,"[21, 19, 56, 55, 41, 42]","['softmax', 'relu', 'softmax', 'tanh', 'relu', 'tanh']",3.7237,4.6418,2.0017,2274459425.0,1483513175.0,790946250.0
3.1875,6,"[54, 41, 45, 50, 52, 50]","['relu', 'softmax', 'relu', 'softmax', 'relu', 'relu']",3.4774,4.5368,1.4606,2272063200.0,1489632700.0,782430500.0
3.35,6,"[27, 56, 38, 23, 55, 59]","['tanh', 'relu', 'softmax', 'tanh', 'relu', 'relu']",3.317,4.3973,1.2599,2270677375.0,1488793075.0,781884300.0
3.5125,6,"[32, 40, 23, 21, 45, 23]","['relu', 'softmax', 'softmax', 'relu', 'tanh', 'tanh']",3.4025,4.4047,1.4868,2268346200.0,1489238200.0,779108000.0
3.6750000000000003,6,"[43, 26, 56, 45, 34, 42]","['tanh', 'relu', 'softmax', 'softmax', 'relu', 'relu']",3.5329,4.5298,1.6399,2271691525.0,1488024200.0,783667325.0
3.8375000000000004,6,"[40, 59, 47, 37, 39, 62]","['relu', 'tanh', 'relu', 'relu', 'tanh', 'tanh']",3.6449,4.64,1.7688,2274720200.0,1486373225.0,788346975.0
4.0,6,"[41, 20, 30, 39, 53, 22]","['softmax', 'softmax', 'tanh', 'softmax', 'relu', 'tanh']",3.5099,4.4841,1.6324,2276255925.0,1498665350.0,777590575.0
0.1,7,"[57, 16, 56, 52, 38, 58, 45]","['softmax', 'tanh', 'softmax', 'softmax', 'relu', 'softmax', 'tanh']",,,,0.0,0.0,0.0
0.2625,7,"[16, 38, 30, 37, 59, 62, 24]","['tanh', 'relu', 'softmax', 'relu', 'softmax', 'relu', 'relu']",,,,0.0,0.0,0.0
0.42500000000000004,7,"[50, 51, 26, 35, 58, 54, 56]","['tanh', 'softmax', 'tanh', 'softmax', 'relu', 'relu', 'softmax']",,,,0.0,0.0,0.0
0.5875,7,"[18, 51, 16, 22, 56, 48, 52]","['softmax', 'softmax', 'tanh', 'softmax', 'softmax', 'relu', 'softmax']",,,,0.0,0.0,0.0
0.75,7,"[27, 35, 19, 52, 61, 41, 29]","['softmax', 'softmax', 'relu', 'tanh', 'tanh', 'tanh', 'tanh']",,,,0.0,0.0,0.0
0.9125,7,"[59, 19, 24, 58, 24, 38, 33]","['softmax', 'tanh', 'softmax', 'softmax', 'tanh', 'relu', 'relu']",,,,0.0,0.0,0.0
1.0750000000000002,7,"[45, 18, 34, 31, 59, 44, 20]","['tanh', 'tanh', 'softmax', 'tanh', 'softmax', 'relu', 'relu']",3.4776,4.3448,1.8382,2271678100.0,1485739750.0,785938350.0
1.2375,7,"[43, 16, 42, 38, 61, 61, 49]","['tanh', 'tanh', 'softmax', 'relu', 'relu', 'relu', 'relu']",3.7113,4.5104,2.1893,2272917275.0,1490389800.0,782527475.0
1.4000000000000001,7,"[62, 63, 24, 18, 47, 33, 19]","['tanh', 'tanh', 'softmax', 'relu', 'tanh', 'softmax', 'softmax']",3.3976,4.3181,1.6516,2276080375.0,1490384400.0,785695975.0
1.5625000000000002,7,"[17, 61, 18, 35, 20, 51, 39]","['tanh', 'tanh', 'softmax', 'relu', 'tanh', 'relu', 'relu']",3.5393,4.5822,1.5596,2272382575.0,1488351575.0,784031000.0
1.725,7,"[60, 45, 37, 49, 33, 57, 57]","['tanh', 'softmax', 'relu', 'relu', 'tanh', 'tanh', 'relu']",3.4342,4.3587,1.6683,2273753725.0,1492398775.0,781354950.0
1.8875000000000002,7,"[33, 54, 38, 40, 36, 48, 18]","['softmax', 'relu', 'softmax', 'tanh', 'tanh', 'relu', 'tanh']",3.5069,4.355,1.8889,2276413475.0,1493542475.0,782871000.0
2.0500000000000003,7,"[28, 50, 27, 21, 62, 19, 27]","['softmax', 'softmax', 'relu', 'softmax', 'tanh', 'softmax', 'relu']",3.2919,4.3431,1.3057,2271189625.0,1485186200.0,786003425.0
